company_name,reason,date_added
GR8 Tech,Has dedicated Crypto Turnkey product on website,2026-05-21
BetConstruct,Has Crypto iGaming Solution + enterprise scale (6000+ employees),2026-05-21
SOFTSWISS,Has Crypto Casino product on website,2026-05-21
EvenBet Gaming,Has Crypto Poker Solutions on website,2026-05-21
NuxGame,Has Bitcoin Casino product on website,2026-05-21
VeliTech,Supports 200+ currencies including crypto (native crypto offering),2026-05-21
GammaStack,Has crypto casino provider page on website,2026-05-21
BETFOC,Pioneered crypto since 2013 — crypto is core offering,2026-05-21
Digient,Has Crypto Casino & Sweepstakes product,2026-05-21
GBO Gaming,Offers crypto casino variants as product,2026-05-21
Trivelta,Headquartered in Boston USA — jurisdiction restriction,2026-05-21
PlayEngine,Headquartered in Berkeley USA — jurisdiction restriction,2026-05-21
Metric Gaming,Headquartered in Las Vegas USA — jurisdiction restriction,2026-05-21
Kambi,Enterprise scale (1000+ employees),2026-05-21
EveryMatrix,Enterprise tier,2026-05-21
Sportradar,Enterprise scale,2026-05-21
Playtech,Enterprise scale / publicly traded,2026-05-21
EGT Digital,800+ employees — too large,2026-05-21
Libernetix,Added to outreach blacklist,2026-05-21
primevault.com,Added to outreach blacklist,2026-05-21
Exinity,Added to outreach blacklist,2026-05-21
FP Markets,Added to outreach blacklist,2026-05-21
FunderPro,Added to outreach blacklist,2026-05-21
MostBet,Added to outreach blacklist,2026-05-21
sp999.games,Added to outreach blacklist,2026-05-21
Epybet,Added to outreach blacklist,2026-05-21
Polker entertainment,Added to outreach blacklist,2026-05-21
Deriv.com,Added to outreach blacklist,2026-05-21
FxPro,Added to outreach blacklist,2026-05-21
Doo Prime,Added to outreach blacklist,2026-05-21
Pepperstone,Added to outreach blacklist,2026-05-21
Exness,Added to outreach blacklist,2026-05-21
Scope Markets,Added to outreach blacklist,2026-05-21
Trading 212,Added to outreach blacklist,2026-05-21
robomarkets,Added to outreach blacklist,2026-05-21
Blade4Blade,Added to outreach blacklist,2026-05-21
Bullsbet,Added to outreach blacklist,2026-05-21
GRODT Group,Added to outreach blacklist,2026-05-21
Altacore,Added to outreach blacklist,2026-05-21
Cryptobosscasino,Added to outreach blacklist,2026-05-21
GodBunny,Added to outreach blacklist,2026-05-21
Bingo,Added to outreach blacklist,2026-05-21
Cryptobetsports,Added to outreach blacklist,2026-05-21
Goplay365,Added to outreach blacklist,2026-05-21
Favbet,Added to outreach blacklist,2026-05-21
Catcasino,Added to outreach blacklist,2026-05-21
DahiBet (MarkBet),Added to outreach blacklist,2026-05-21
ArkinNew,Added to outreach blacklist,2026-05-21
Bluechip,Added to outreach blacklist,2026-05-21
Alexandracasino,Added to outreach blacklist,2026-05-21
Arthur Gaming,Added to outreach blacklist,2026-05-21
1win.pro,Added to outreach blacklist,2026-05-21
Casiglo,Added to outreach blacklist,2026-05-21
BetItAll,Added to outreach blacklist,2026-05-21
Betwin168.bet,Added to outreach blacklist,2026-05-21
Casibar,Added to outreach blacklist,2026-05-21
Chilli6,Added to outreach blacklist,2026-05-21
bet365,Added to outreach blacklist,2026-05-21
7xlcom,Added to outreach blacklist,2026-05-21
Casinoprestij,Added to outreach blacklist,2026-05-21
Digitalwin,Added to outreach blacklist,2026-05-21
